,meme_stock,ticker,price_2020-12-01,wsv_2020-12-01,price_2020-12-16,wsv_2020-12-16,price_2021-01-04,wsv_2021-01-04,price_2021-01-20,wsv_2021-01-20,regularMarketPrice,logo_url,trailingPegRatio,zip,sector,fullTimeEmployees,city,state,country,maxAge,industry,ebitdaMargins,profitMargins,grossMargins,operatingCashflow,revenueGrowth,operatingMargins,ebitda,targetLowPrice,recommendationKey,grossProfits,freeCashflow,targetMedianPrice,currentPrice,earningsGrowth,currentRatio,returnOnAssets,numberOfAnalystOpinions,targetMeanPrice,debtToEquity,returnOnEquity,targetHighPrice,totalCash,totalDebt,totalRevenue,totalCashPerShare,financialCurrency,revenuePerShare,quickRatio,recommendationMean,exchange,shortName,longName,exchangeTimezoneShortName,isEsgPopulated,quoteType,market,enterpriseToRevenue,beta3Year,enterpriseToEbitda,52WeekChange,morningStarRiskRating,forwardEps,revenueQuarterlyGrowth,sharesOutstanding,fundInceptionDate,annualReportExpenseRatio,totalAssets,bookValue,sharesShort,sharesPercentSharesOut,fundFamily,lastFiscalYearEnd,heldPercentInstitutions,netIncomeToCommon,trailingEps,lastDividendValue,SandP52WeekChange,priceToBook,heldPercentInsiders,nextFiscalYearEnd,yield,mostRecentQuarter,shortRatio,sharesShortPreviousMonthDate,floatShares,beta,enterpriseValue,priceHint,threeYearAverageReturn,legalType,lastDividendDate,earningsQuarterlyGrowth,priceToSalesTrailing12Months,dateShortInterest,pegRatio,ytdReturn,forwardPE,lastCapGain,shortPercentOfFloat,sharesShortPriorMonth,impliedSharesOutstanding,fiveYearAverageReturn,previousClose,regularMarketOpen,twoHundredDayAverage,trailingAnnualDividendYield,payoutRatio,volume24Hr,regularMarketDayHigh,navPrice,averageDailyVolume10Day,regularMarketPreviousClose,fiftyDayAverage,trailingAnnualDividendRate,open,averageVolume10days,dividendRate,exDividendDate,startDate,regularMarketDayLow,trailingPE,regularMarketVolume,openInterest,marketCap,volumeAllCurrencies,strikePrice,averageVolume,dayLow,ask,askSize,volume,fiftyTwoWeekHigh,fiveYearAvgDividendYield,fiftyTwoWeekLow,bid,tradeable,dividendYield,bidSize,dayHigh,fax
0,True,GME,4.277500152587891,86,3.490000009536743,20,4.75,91,9.342499732971191,597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,True,AMC,4.429999828338623,1,2.869999885559082,1,2.200000047683716,2,3.2899999618530273,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,True,BBBY,21.290000915527344,0,19.43000030517578,0,17.969999313354492,3,25.110000610351562,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,True,FIZZ,43.34582522946927,0,38.81976687052317,0,40.55733150125146,0,44.12193327422631,1,50.085,https://logo.clearbit.com/nationalbeverage.com,,33324,Consumer Defensive,1580.0,Fort Lauderdale,FL,United States,1.0,Beverages—Non-Alcoholic,0.17152001,0.117939994,0.33675998,129407000.0,0.058,0.15451,199114000.0,42.0,underperform,417805000.0,94909000.0,42.0,50.085,-0.081,2.022,0.19745001,2.0,42.0,13.84,0.36905,42.0,92626000.0,40843000.0,1160893056.0,0.992,USD,12.437,1.307,3.7,NMS,National Beverage Corp.,National Beverage Corp.,EST,False,EQUITY,us_market,3.979,,23.198,0.071902394,,1.71,,93352896.0,,,,3.214,1423614.0,0.0152,,1651276800.0,0.24441999,136912000.0,1.53,3.0,-0.1573345,15.5833845,0.74863,1714435200.0,,1667001600.0,10.62,1667174400.0,23466130.0,1.066091,4618999296.0,2.0,,,1639094400.0,-0.082,4.0275717,1669766400.0,1.38,,29.289473,,0.060700003,1443567.0,0.0,,48.86,50.44,47.1742,0.0,0.0,,53.98,,133140.0,48.86,46.3112,0.0,50.44,133140.0,,1639094400.0,,50.04,32.735294,304714.0,,4675579904.0,,,163846.0,50.04,50.33,800.0,304714.0,57.65,,38.1,47.31,False,,800.0,53.98,
4,True,BB,8.359999656677246,44,8.350000381469727,4,6.699999809265137,3,13.229999542236328,430,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,True,NOK,4.024056911468506,0,3.974499785960442,0,3.9546765781101523,0,4.113260408568117,17,,,8.2544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,True,PLTR,28.09000015258789,181,25.709999084472656,59,23.90999984741211,48,27.290000915527344,42,,,1.2947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,True,SPCE,28.0,8,24.979999542236328,9,23.959999084472656,0,31.559999465942383,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,True,CLOV,10.40999984741211,0,10.989999771118164,0,17.399999618530273,0,13.890000343322754,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,True,ZOM,0.17900000512599945,0,0.17299999296665192,0,0.25,2,1.0800000429153442,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
